Bitacora de Multichat
Fecha|                   |Correo|                            |Comando|   |Resultado|    |Host|                   |UserAgent|                       |Remote Address
2016-09-24 00:36:03       |nesty@localhost       |algonuevo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:37:15       |nesty@localhost       |link   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:37:16       |nesty@localhost       |LINK   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:37:16       |nesty@localhost       |algonuevo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:38:48       |nesty@localhost       |link   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:38:49       |nesty@localhost       |LINK   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:38:49       |nesty@localhost       |algonuevo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:39:46       |nesty@localhost       |link   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:39:47       |nesty@localhost       |LINK   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:39:47       |nesty@localhost       |algonuevo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:41:54       |nesty@localhost       |link   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:41:54       |nesty@localhost       |LINK   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:41:54       |nesty@localhost       |algonuevo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:43:20       |nesty@localhost       |ALGONUEVO   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:20       |nesty@localhost       |link   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:20       |nesty@localhost       |LINK   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:21       |nesty@localhost       |algonuevo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:21       |nesty@localhost       |ALGONUEVO   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:21       |nesty@localhost       |ALGONUEVO   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:21       |nesty@localhost       |ALGONUEVO   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:21       |nesty@localhost       |saldo   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-24 00:45:22       |nesty@localhost       |SALDO   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
