Bitacora de Multichat
Fecha|                   |Correo|                            |Comando|   |Resultado|    |Host|                   |UserAgent|                       |Remote Address
2016-09-23 01:49:08       |nesty@localhost       |SMS   |Mailer Error: Could not instantiate mail function.            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:49:08       |nesty@localhost       |SMS   |Mailer Error: Could not instantiate mail function.            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:49:08       |nesty@localhost       |SMS   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:49:08       |nesty@localhost       |SMS   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:53:57       |nesty@localhost       |58796354*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:53:57       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:53:58       |nesty@localhost       |SMS   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:53:58       |nesty@localhost       |58412347*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:53:58       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:53:58       |nesty@localhost       |SMS   |entregado            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:54:52       |nesty@localhost       |58796354*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
